row, course, years_open, diss_doce_year, tese_doce_year, peri_doce_year, weight_a1, weight_a2, weight_b1, weight_b2, weight_b3, weight_b4, weight_b5, weight_c, weight_nc, qual_doce_year, conf_doce_year, livr_doce_year, capi_doce_year,arti_doce_year,has_phd,is_academic,level
1,admin_ciencontabeis_tur,20.0,0.1,0.1,0.45,9.0,20.25,53.4,35.1,29.1,10.5,7.2,7.77,0.67,0.0,1.25,0.0,0.0,0.05,true,true,sete
2,admin_ciencontabeis_tur,20.0,0.1,0.0,0.2,1.8,5.25,17.4,10.35,6.6,4.75,0.6,0.63,0.13,0.0,0.7,0.0,0.0,0.05,true,true,seis
3,admin_ciencontabeis_tur,20.0,0.05,0.05,0.3,1.8,6.0,27.6,13.95,8.7,3.0,1.0,0.7,0.16,0.0,0.8,0.0,0.0,0.05,true,true,seis
4,admin_ciencontabeis_tur,15.0,0.466666666667,0.0,0.266666666667,2.7,4.5,9.6,7.65,3.6,0.0,0.2,0.63,0.0,0.0,0.866666666667,0.0,0.0,0.0666666666667,false,true,cinco
5,admin_ciencontabeis_tur,20.0,0.15,0.0,0.15,0.0,15.75,15.0,8.55,2.7,1.0,0.5,0.21,0.07,0.0,0.45,0.0,0.05,0.0,true,true,cinco
6,admin_ciencontabeis_tur,17.0,0.235294117647,0.0,0.176470588235,0.0,17.25,15.0,8.55,2.7,0.75,0.3,0.21,0.07,0.0,0.470588235294,0.0,0.0588235294118,0.0,false,true,cinco
7,admin_ciencontabeis_tur,16.0,0.375,0.0,0.1875,1.8,1.5,7.2,4.95,3.6,1.5,0.1,1.33,0.03,0.0,0.4375,0.0,0.0,0.0,false,true,cinco
8,admin_ciencontabeis_tur,16.0,0.3125,0.0,0.25,0.0,1.5,1.8,2.25,6.3,5.75,0.8,0.84,0.1,0.0,0.875,0.0,0.0,0.0,true,true,cinco
9,admin_ciencontabeis_tur,10.0,0.2,0.0,0.2,0.0,1.5,6.0,3.6,4.8,1.25,0.1,0.49,0.03,0.0,0.8,0.0,0.0,0.0,false,true,cinco
10,admin_ciencontabeis_tur,20.0,0.2,0.0,0.25,3.6,4.5,15.6,10.35,8.4,4.5,0.5,0.28,0.06,0.0,0.7,0.0,0.0,0.05,true,true,cinco
12,admin_ciencontabeis_tur,20.0,0.05,0.0,0.2,1.8,6.75,12.6,7.2,3.6,1.75,0.4,0.7,0.17,0.0,0.4,0.0,0.0,0.0,true,true,cinco
13,admin_ciencontabeis_tur,10.0,0.2,0.0,0.4,0.0,2.25,6.6,4.05,9.3,1.75,1.5,0.91,0.2,0.0,1.5,0.0,0.0,0.0,true,true,cinco
14,admin_ciencontabeis_tur,16.0,0.25,0.0,0.1875,3.6,5.25,8.4,7.2,1.2,1.75,0.7,0.77,0.1,0.0,0.6875,0.0,0.0,0.0625,true,true,cinco
15,admin_ciencontabeis_tur,19.0,0.263157894737,0.0,0.157894736842,0.0,0.75,4.8,1.35,2.4,1.5,0.7,0.7,0.04,0.0,0.631578947368,0.0,0.0,0.0,false,true,cinco
16,admin_ciencontabeis_tur,17.0,0.235294117647,0.0588235294118,0.294117647059,0.9,0.75,15.0,8.1,11.4,1.75,1.1,0.42,0.03,0.0,0.647058823529,0.0,0.0,0.0,true,true,cinco
17,admin_ciencontabeis_tur,20.0,0.4,0.0,0.05,0.9,3.75,1.8,0.9,0.3,1.25,0.0,0.77,0.09,0.0,0.25,0.0,0.0,0.0,false,true,quatro
18,admin_ciencontabeis_tur,7.0,0.0,0.0,0.428571428571,0.9,4.5,10.8,7.65,5.7,0.25,0.1,0.35,0.01,0.0,1.42857142857,0.0,0.0,0.142857142857,true,true,quatro
19,admin_ciencontabeis_tur,19.0,0.210526315789,0.0,0.473684210526,0.9,4.5,4.2,7.2,9.6,5.25,1.6,2.03,0.07,0.0,1.68421052632,0.0,0.0,0.0526315789474,false,true,quatro
20,admin_ciencontabeis_tur,11.0,0.181818181818,0.0,0.727272727273,0.9,4.5,6.6,7.65,11.4,6.5,2.3,1.82,0.09,0.0,2.72727272727,0.0,0.0,0.0909090909091,true,true,quatro
21,admin_ciencontabeis_tur,17.0,0.647058823529,0.0,0.235294117647,5.4,6.75,6.0,5.4,1.2,3.0,0.9,0.98,0.09,0.0,0.588235294118,0.0,0.0,0.0,false,true,quatro
22,admin_ciencontabeis_tur,9.0,0.0,0.0,0.333333333333,0.9,0.75,6.6,4.5,3.9,1.75,0.0,0.63,0.07,0.0,0.888888888889,0.0,0.0,0.0,true,true,quatro
23,admin_ciencontabeis_tur,20.0,0.45,0.0,0.2,0.9,8.25,6.0,2.7,3.3,1.0,2.4,1.12,0.19,0.0,0.55,0.0,0.0,0.0,false,true,quatro
24,admin_ciencontabeis_tur,16.0,0.1875,0.0,0.125,0.0,0.75,1.2,3.15,3.6,1.5,0.6,0.77,0.0,0.0,0.8125,0.0,0.0,0.0,false,true,quatro
25,admin_ciencontabeis_tur,20.0,0.05,0.0,0.2,2.7,5.25,9.0,10.8,7.2,4.0,1.1,1.68,0.07,0.0,0.75,0.0,0.0,0.05,true,true,cinco
26,admin_ciencontabeis_tur,18.0,0.166666666667,0.0,0.166666666667,5.4,9.75,9.0,10.35,6.6,3.25,1.0,1.05,0.03,0.0,0.555555555556,0.0,0.0,0.0,false,true,quatro
27,admin_ciencontabeis_tur,20.0,0.15,0.0,0.2,0.0,4.5,9.6,9.45,4.5,2.75,1.2,0.84,0.17,0.0,0.9,0.0,0.0,0.05,true,true,quatro
28,admin_ciencontabeis_tur,9.0,0.0,0.0,0.555555555556,0.0,1.5,8.4,3.6,5.1,2.75,0.3,0.77,0.06,0.0,1.44444444444,0.0,0.0,0.0,false,true,quatro
29,admin_ciencontabeis_tur,20.0,0.15,0.0,0.2,0.0,1.5,4.8,4.5,4.2,1.75,0.8,0.42,0.06,0.0,0.55,0.0,0.0,0.0,false,true,quatro
30,admin_ciencontabeis_tur,20.0,0.3,0.0,0.2,0.0,9.75,12.0,6.3,3.9,1.75,0.3,0.49,0.12,0.0,0.5,0.0,0.0,0.0,true,true,quatro
31,admin_ciencontabeis_tur,18.0,0.0,0.0,0.222222222222,9.0,12.0,21.0,11.25,3.9,2.25,1.5,0.84,0.14,0.0,0.611111111111,0.0,0.0,0.0,false,true,quatro
32,admin_ciencontabeis_tur,18.0,0.166666666667,0.0,0.222222222222,0.0,0.0,1.8,2.25,4.5,4.75,0.7,0.49,0.09,0.0,0.611111111111,0.0,0.0,0.0,false,true,quatro
33,admin_ciencontabeis_tur,20.0,0.2,0.0,0.1,0.9,3.0,4.2,4.05,2.4,2.75,0.3,0.14,0.03,0.0,0.45,0.0,0.0,0.0,true,true,quatro
34,admin_ciencontabeis_tur,20.0,0.1,0.0,0.25,1.8,8.25,11.4,4.95,9.0,5.25,0.9,1.54,0.15,0.0,0.7,0.0,0.0,0.0,true,true,quatro
35,admin_ciencontabeis_tur,12.0,0.25,0.0,0.583333333333,2.7,0.75,3.6,4.95,5.7,5.0,1.1,1.54,0.05,0.0,2.41666666667,0.0,0.0,0.0833333333333,false,true,quatro
36,admin_ciencontabeis_tur,13.0,0.230769230769,0.0,0.384615384615,0.0,2.25,3.0,5.4,5.1,3.25,1.9,0.28,0.03,0.0,1.38461538462,0.0,0.0,0.0,false,true,quatro
37,admin_ciencontabeis_tur,9.0,0.666666666667,0.0,0.444444444444,0.9,2.25,4.8,1.35,6.9,3.0,0.8,1.26,0.14,0.0,1.55555555556,0.0,0.0,0.0,true,true,quatro
38,admin_ciencontabeis_tur,20.0,0.4,0.0,0.15,0.9,3.0,2.4,0.0,1.8,1.25,1.1,1.26,0.04,0.0,0.75,0.0,0.0,0.0,false,true,quatro
39,admin_ciencontabeis_tur,17.0,0.294117647059,0.0,0.117647058824,0.0,0.0,1.8,2.7,4.2,0.75,0.1,0.21,0.0,0.0,0.588235294118,0.0,0.0,0.0,false,true,quatro
40,admin_ciencontabeis_tur,20.0,0.2,0.0,0.2,0.9,6.0,7.2,5.85,3.6,2.0,0.3,0.21,0.02,0.0,0.65,0.0,0.0,0.0,false,true,quatro
41,admin_ciencontabeis_tur,9.0,0.111111111111,0.0,0.111111111111,0.9,0.75,5.4,0.9,0.9,0.5,0.1,0.14,0.06,0.0,0.777777777778,0.0,0.0,0.0,false,true,quatro
42,admin_ciencontabeis_tur,14.0,0.357142857143,0.0,0.142857142857,1.8,3.75,1.8,2.25,1.5,1.0,0.3,0.84,0.07,0.0,0.5,0.0,0.0,0.0,false,true,quatro
43,admin_ciencontabeis_tur,16.0,0.375,0.0,0.3125,0.0,1.5,7.8,3.6,3.9,1.75,0.5,1.05,0.09,0.0,0.75,0.0,0.0,0.0,false,true,quatro
44,admin_ciencontabeis_tur,13.0,0.153846153846,0.0,0.230769230769,0.0,4.5,4.2,4.95,5.1,2.25,1.0,0.98,0.05,0.0,0.923076923077,0.0,0.0,0.0,true,true,quatro
45,admin_ciencontabeis_tur,11.0,0.363636363636,0.0,0.363636363636,0.0,7.5,12.6,4.5,3.3,1.0,0.7,0.56,0.01,0.0,0.818181818182,0.0,0.0,0.0,true,true,quatro
46,admin_ciencontabeis_tur,8.0,0.0,0.0,0.5,0.0,0.75,4.2,4.05,6.0,1.25,0.2,0.28,0.02,0.0,1.0,0.0,0.0,0.0,false,true,quatro
47,admin_ciencontabeis_tur,13.0,0.230769230769,0.0,0.230769230769,0.0,3.0,3.6,4.5,6.0,1.75,1.2,1.05,0.06,0.0,0.692307692308,0.0,0.0,0.0,false,true,quatro
48,admin_ciencontabeis_tur,12.0,0.25,0.0,0.25,0.9,4.5,9.6,9.45,3.0,0.75,1.1,1.54,0.08,0.0,0.75,0.0,0.0,0.0833333333333,false,true,quatro
49,admin_ciencontabeis_tur,11.0,0.181818181818,0.0,0.363636363636,0.0,5.25,7.8,5.4,2.7,1.25,1.0,0.42,0.05,0.0,1.0,0.0,0.0,0.0909090909091,false,true,quatro
50,admin_ciencontabeis_tur,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.4,0.56,0.05,0.0,0.3,0.0,0.0,0.0,false,true,tres
51,admin_ciencontabeis_tur,7.0,0.0,0.0,0.0,2.7,1.5,1.2,0.9,0.3,0.25,0.1,0.14,0.03,0.0,0.142857142857,0.0,0.0,0.0,false,true,tres
52,admin_ciencontabeis_tur,11.0,0.818181818182,0.0,0.272727272727,0.0,3.75,9.0,4.95,3.3,1.0,0.6,0.42,0.09,0.0,1.09090909091,0.0,0.0,0.0,false,true,tres
53,admin_ciencontabeis_tur,16.0,0.5625,0.0,0.0,0.0,0.75,0.6,0.45,0.3,0.5,0.0,0.07,0.03,0.0,0.1875,0.0,0.0,0.0,false,true,tres
54,admin_ciencontabeis_tur,9.0,0.111111111111,0.0,0.666666666667,3.6,5.25,10.2,9.0,6.3,0.75,0.2,0.7,0.01,0.0,1.77777777778,0.0,0.0,0.111111111111,false,true,tres
55,admin_ciencontabeis_tur,9.0,0.666666666667,0.0,0.333333333333,5.4,1.5,3.6,2.7,5.7,3.0,0.5,0.7,0.08,0.0,0.777777777778,0.0,0.0,0.0,true,true,tres
56,admin_ciencontabeis_tur,9.0,0.0,0.0,0.333333333333,9.9,6.0,5.4,3.15,0.3,0.25,0.0,0.42,0.13,0.0,0.777777777778,0.0,0.0,0.0,false,true,tres
57,admin_ciencontabeis_tur,20.0,0.3,0.0,0.15,0.9,1.5,4.2,3.15,2.4,1.25,0.4,0.77,0.08,0.0,0.85,0.0,0.0,0.0,false,true,tres
58,admin_ciencontabeis_tur,15.0,0.266666666667,0.0,0.2,0.0,0.0,0.0,2.7,2.1,1.5,1.6,1.68,0.02,0.0,1.2,0.0,0.0,0.0,false,true,tres
59,admin_ciencontabeis_tur,10.0,0.3,0.0,0.2,0.0,0.75,1.2,2.7,2.1,1.0,1.3,0.7,0.09,0.0,1.6,0.0,0.0,0.0,false,true,tres
60,admin_ciencontabeis_tur,16.0,0.1875,0.0,0.0625,0.0,0.0,3.0,1.8,0.6,1.75,0.3,0.91,0.02,0.0,0.8125,0.0,0.0,0.0,false,true,tres
61,admin_ciencontabeis_tur,13.0,0.153846153846,0.0,0.0769230769231,0.0,0.75,3.0,0.0,2.1,1.5,0.2,0.35,0.11,0.0,0.461538461538,0.0,0.0,0.0,false,true,tres
62,admin_ciencontabeis_tur,11.0,0.363636363636,0.0,0.272727272727,0.0,0.75,1.8,3.15,2.7,1.0,0.4,0.7,0.04,0.0,1.18181818182,0.0,0.0,0.0,false,true,tres
63,admin_ciencontabeis_tur,10.0,0.2,0.0,0.2,0.0,0.75,1.8,2.7,1.2,3.25,0.2,0.7,0.01,0.0,1.2,0.0,0.0,0.0,false,true,tres
64,admin_ciencontabeis_tur,10.0,0.1,0.0,0.4,1.8,0.75,1.8,2.7,3.0,3.25,0.9,0.21,0.02,0.0,0.7,0.0,0.0,0.0,false,true,tres
65,admin_ciencontabeis_tur,9.0,0.0,0.0,0.111111111111,0.0,0.75,1.8,1.8,0.6,1.5,0.1,0.28,0.02,0.0,0.888888888889,0.0,0.0,0.0,false,true,tres
66,admin_ciencontabeis_tur,7.0,0.0,0.0,0.0,0.0,3.0,1.2,2.7,1.2,0.0,0.0,0.07,0.03,0.0,0.428571428571,0.0,0.0,0.0,false,true,tres
67,admin_ciencontabeis_tur,7.0,0.285714285714,0.0,0.0,0.0,3.0,1.2,2.7,1.2,0.0,0.0,0.07,0.02,0.0,0.428571428571,0.0,0.0,0.0,false,true,tres
68,admin_ciencontabeis_tur,16.0,0.25,0.0,0.0625,0.0,0.0,4.2,1.8,0.6,0.0,0.1,0.07,0.01,0.0,0.6875,0.0,0.0,0.0,false,true,tres
69,admin_ciencontabeis_tur,8.0,0.0,0.0,0.25,0.0,0.0,3.6,0.9,1.8,0.75,0.2,0.91,0.02,0.0,1.0,0.0,0.0,0.0,false,true,tres
70,admin_ciencontabeis_tur,9.0,0.111111111111,0.0,0.333333333333,0.9,2.25,3.6,1.8,5.7,2.25,0.5,0.49,0.03,0.0,1.11111111111,0.0,0.0,0.0,false,true,tres
71,admin_ciencontabeis_tur,11.0,0.272727272727,0.0,0.181818181818,0.0,0.0,1.8,0.0,3.3,1.75,0.3,0.98,0.06,0.0,2.0,0.0,0.0,0.0,false,true,tres
72,admin_ciencontabeis_tur,8.0,0.0,0.0,0.125,0.0,0.0,2.4,1.35,0.6,1.0,0.0,0.07,0.01,0.0,0.625,0.0,0.0,0.0,false,true,tres
73,admin_ciencontabeis_tur,13.0,0.153846153846,0.0,0.0769230769231,0.0,0.75,0.6,2.25,2.1,2.0,0.5,0.14,0.03,0.0,0.538461538462,0.0,0.0,0.0,false,true,tres
74,admin_ciencontabeis_tur,16.0,0.3125,0.0,0.0625,0.0,0.75,1.2,2.25,2.1,2.0,0.8,0.77,0.11,0.0,0.6875,0.0,0.0,0.0,false,true,tres
75,admin_ciencontabeis_tur,13.0,0.230769230769,0.0,0.230769230769,0.0,0.0,3.6,3.6,3.3,1.75,0.5,0.77,0.01,0.0,0.846153846154,0.0,0.0,0.0,false,true,tres
76,admin_ciencontabeis_tur,11.0,0.272727272727,0.0,0.363636363636,0.0,6.0,3.0,2.25,1.8,2.0,0.6,0.28,0.11,0.0,0.636363636364,0.0,0.0,0.0,false,true,tres
77,admin_ciencontabeis_tur,11.0,0.636363636364,0.0,0.0909090909091,0.0,0.0,2.4,0.9,0.3,0.75,0.5,0.56,0.01,0.0,0.454545454545,0.0,0.0,0.0,false,true,tres
78,admin_ciencontabeis_tur,7.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.1,0.0,0.04,0.0,0.142857142857,0.0,0.0,0.0,false,true,tres
79,admin_ciencontabeis_tur,12.0,0.0833333333333,0.0,0.0833333333333,0.9,2.25,2.4,3.15,1.5,0.25,0.1,0.14,0.07,0.0,0.166666666667,0.0,0.0,0.0,false,true,tres
80,admin_ciencontabeis_tur,9.0,0.111111111111,0.0,0.0,0.0,1.5,0.0,0.45,0.0,0.0,0.2,0.28,0.05,0.0,0.222222222222,0.0,0.0,0.0,false,true,tres
81,admin_ciencontabeis_tur,16.0,0.25,0.0,0.0625,0.0,0.0,2.4,2.25,1.5,0.5,0.2,0.21,0.01,0.0,0.5,0.0,0.0,0.0,false,true,tres
82,admin_ciencontabeis_tur,11.0,0.181818181818,0.0,0.0909090909091,0.0,1.5,1.8,0.9,1.5,0.75,0.4,0.7,0.04,0.0,0.636363636364,0.0,0.0,0.0,false,true,tres
83,admin_ciencontabeis_tur,10.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.75,0.2,0.35,0.05,0.0,1.0,0.0,0.0,0.0,false,true,tres
84,admin_ciencontabeis_tur,9.0,0.0,0.0,0.333333333333,0.0,2.25,4.8,2.25,3.0,2.5,0.2,0.56,0.03,0.0,0.666666666667,0.0,0.0,0.0,false,true,tres
85,admin_ciencontabeis_tur,10.0,0.2,0.0,0.1,0.0,0.0,3.6,0.0,2.1,0.5,0.2,0.07,0.02,0.0,0.2,0.0,0.0,0.0,false,true,tres
87,antropologia_arqueologia,20.0,0.05,0.05,0.15,14.4,3.75,1.8,5.4,3.0,0.75,1.1,0.07,0.06,0.0,0.15,0.0,0.0,0.0,true,true,seis
88,antropologia_arqueologia,20.0,0.1,0.05,0.3,3.6,5.25,37.2,8.55,2.7,2.25,0.8,0.07,0.13,0.0,0.2,0.0,0.0,0.05,true,true,cinco
89,antropologia_arqueologia,20.0,0.1,0.0,0.1,2.7,3.0,4.8,1.35,3.0,3.0,0.7,0.14,0.08,0.0,0.5,0.0,0.0,0.0,true,true,quatro
90,antropologia_arqueologia,13.0,0.0769230769231,0.0,0.230769230769,0.0,3.0,9.6,4.5,0.3,7.25,0.0,0.07,0.12,0.0,0.307692307692,0.0,0.0,0.0,true,true,quatro
91,antropologia_arqueologia,10.0,0.1,0.0,0.3,6.3,9.0,2.4,4.95,0.0,0.0,0.3,0.07,0.05,0.0,0.1,0.0,0.1,0.1,false,true,quatro
92,antropologia_arqueologia,9.0,0.0,0.0,0.333333333333,8.1,0.75,3.6,0.9,0.6,3.0,0.3,0.21,0.09,0.0,0.666666666667,0.111111111111,0.0,0.0,true,true,quatro
93,antropologia_arqueologia,20.0,0.05,0.0,0.05,1.8,3.75,1.8,0.9,1.2,0.5,0.6,0.0,0.03,0.0,0.15,0.0,0.0,0.0,false,true,tres
94,antropologia_arqueologia,11.0,0.0909090909091,0.0,0.0909090909091,0.9,0.0,0.6,0.45,0.9,1.75,0.0,0.07,0.02,0.0,0.181818181818,0.0,0.0,0.0,false,true,tres
95,arquitetura_urbanismo,20.0,0.1,0.05,0.05,2.7,3.0,33.6,14.85,3.3,4.75,2.1,0.07,0.33,0.0,0.15,0.0,0.0,0.0,true,true,seis
96,arquitetura_urbanismo,20.0,0.1,0.0,0.15,1.8,5.25,12.6,1.8,0.6,3.25,0.4,0.0,0.05,0.0,0.45,0.0,0.0,0.0,true,true,cinco
97,arquitetura_urbanismo,20.0,0.15,0.05,0.15,0.0,2.25,4.8,11.7,5.1,1.5,0.4,0.21,0.18,0.0,0.45,0.0,0.0,0.05,true,true,cinco
98,arquitetura_urbanismo,17.0,0.176470588235,0.0,0.176470588235,0.0,0.75,17.4,1.35,0.0,1.75,1.5,0.49,0.15,0.0,1.05882352941,0.0,0.0,0.0,true,true,cinco
99,arquitetura_urbanismo,20.0,0.15,0.05,0.15,1.8,3.75,8.4,8.55,3.0,1.25,0.8,0.07,0.14,0.0,0.6,0.0,0.0,0.05,true,true,cinco
100,arquitetura_urbanismo,13.0,0.0769230769231,0.0,0.0,0.0,0.0,1.2,0.45,0.3,0.5,0.1,0.0,0.02,0.0,0.692307692308,0.0,0.0,0.0,false,true,quatro
101,arquitetura_urbanismo,14.0,0.214285714286,0.0,0.0714285714286,0.0,0.0,3.0,3.15,0.3,0.5,1.0,0.0,0.03,0.0,0.928571428571,0.0,0.0,0.0,false,true,quatro
102,arquitetura_urbanismo,13.0,0.230769230769,0.0,0.0,2.7,0.0,0.0,0.9,0.0,1.0,0.1,0.0,0.04,0.0,1.23076923077,0.0,0.0,0.0,false,true,quatro
103,arquitetura_urbanismo,10.0,0.2,0.0,0.2,0.0,0.75,3.0,2.7,0.3,0.5,0.1,0.0,0.06,0.0,1.7,0.0,0.0,0.0,false,true,quatro
104,arquitetura_urbanismo,9.0,0.111111111111,0.0,0.111111111111,1.8,3.0,0.6,0.0,0.0,4.75,0.2,0.0,0.08,0.0,0.666666666667,0.0,0.0,0.0,false,true,quatro
105,arquitetura_urbanismo,17.0,0.117647058824,0.0,0.0588235294118,0.0,2.25,1.8,0.9,0.3,1.0,0.4,0.0,0.09,0.0,0.705882352941,0.0,0.0,0.0,true,true,quatro
107,arquitetura_urbanismo,20.0,0.2,0.0,0.1,0.0,0.0,2.4,13.5,0.6,1.25,1.0,0.28,0.14,0.0,0.4,0.0,0.0,0.05,true,true,quatro
